"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24101.10942854","25870.7559442601","26533.3438994646","27430.7524011423","28656.5202144809","28648.9900202816","28499.0894346302","30215.9492264355","30512.6839092893","30728.0544998494","33120.0541794756","32117.9123240376","30862.2226879381","31387.2829554433","34176.4646014807","35207.5772430056","36362.2193169021","37865.4934863172","38515.2637965284","34693.0867452693","33732.847449979","35492.6184873268","35498.9820892515","37419.8928171808","38223.3722610247","38249.0548684635","38390.2716490175","39454.6298306781","","",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","839.485886051471","888.153370005426","885.840818972452","979.273978611804","1031.64313483554","1176.12635743384","1218.11821480543","1454.66301483129","1637.37798708028","1626.76479325583","1806.7639297497","1874.76563448053","1897.52593759488","1886.69297689805","1896.99251956752","1934.63675411354","1955.00620775557","",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3089.68336935438","3120.35614817504","2908.16079787681","2190.7681595904","2195.53228856477","2496.19949342652","2794.8969061564","2953.34270858672","3027.34179530886","3037.72117507804","3097.30729223305","3191.26632340776","3564.09602605902","3614.60727755068","3978.69719448204","4555.18584237212","5048.87644915894","5697.25132780177","6221.42337303299","6092.78324493601","6230.29702791298","6346.39512245023","6772.52833330165","6980.42303765629","7199.24547787972","7096.60061493129","6756.93507434352","6650.58493982441","6452.35516529031","",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2549.47302184377","1909.114038437","1823.30767260917","2057.44965661892","2289.87313531323","2665.76490612222","2980.06628849579","2717.36212449434","3021.01473768125","3471.65259162591","3861.334172426","4301.35279874992","4661.37155341076","4994.51880731917","5422.7784619431","5865.30619612569","6559.78325677995","7276.30296869082","8228.37423890574","8814.81085605008","9628.02578340836","10207.7523472149","10526.2354457688","10571.0106501214","11259.2258938162","11662.0304810353","11868.1789681017","12930.1400345966","13364.1553966514","",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6808.20699467917","6872.27319466356","7255.32836233879","7458.64705933466","7645.68285600858","7774.20735996201","8094.14984163045","8397.51569244762","8797.66260600435","8938.45152410897","9415.63261783952","9584.10830145472","9581.7971427276","9974.64189782621","10937.3160890742","11646.4860892337","12442.1879410371","13041.925530933","13739.7277458144","13640.8467804287","14127.778019072","14518.8274477327","15423.4653949262","15824.7801062992","16153.2448577557","16501.7925921987","16935.3833007052","17099.8893883922","17570.1375962038","",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72906.5201185176","71753.7295616253","71567.8275243133","70082.3893271391","72471.6872852948","74994.3806238594","76848.7922425623","80390.0641121818","77421.1086600843","76654.2559063601","82215.3144675388","80843.6053740994","79863.4897327415","82946.3352073397","85147.2190940121","81635.4679744734","79970.7362497655","72802.1616020533","66641.4842821642","56975.5293797207","54230.1736731261","56574.2881750551","58961.2020108164","62641.8369859443","66443.9975780681","70212.0930136688","72386.0904686661","73137.870185481","75075.2574109804","",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7380.11503118735","8210.64343215652","8942.56985334792","9777.21400454294","10435.9107722394","10225.1187125527","10857.4296683631","11802.8425876097","12255.6762580684","11878.7311737669","11916.5826088776","11514.6191069331","10310.1291162407","11307.7579844436","12527.8004962651","13916.5305134683","15334.9368605146","16994.6959837683","17850.1301895326","16753.3948878684","18524.8567559266","19817.4504765479","19764.2250138718","20365.6133492316","20008.3206437718","20551.8331919861","20130.4080257097","20843.1550676442","20610.5685495282","",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2428.55895974308","2237.75272822563","1356.2107859941","1296.17849767762","1429.10238617097","1591.89484570242","1742.73411428108","1852.20010202549","2025.55542010645","2136.1215982606","2327.36252148918","2621.85436449338","3031.12188186261","3539.63026732939","4038.45507485388","4772.59004734909","5609.16896953225","6609.17182379203","7264.56119509849","6326.65796857486","6565.67866039471","7019.76774846004","7649.06153121851","8003.08776261057","8405.07365471642","8727.38544721151","8808.57271422555","9620.81849105517","10343.1755901515","",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11326.7026239588","11806.2344108132","12005.9867901622","12682.4753470644","13524.6702928867","12924.3553670001","13729.7575491138","14416.1148700958","14951.180656014","15423.994600741","16526.9872159468","15804.1215566343","15994.1761485754","17059.1371627749","18284.4676649436","19784.9667887268","22634.0010020186","24994.5582233496","25064.1017670334","21852.2030821564","20134.8172469042","19876.2153228796","20672.9120615171","20656.3815752968","21599.1991356695","22422.029389552","23670.3022557124","24644.551883064","26868.1335238429","",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17329.7066136991","17790.9801413812","18189.3787417432","19131.8418718459","20064.4590147663","20894.3972067408","21972.0526522953","22934.7860068545","24196.7212783416","25264.3643562136","26328.6736837152","27336.6826900614","28718.241079556","29693.9059129237","31327.3774922975","32575.0692539649","34306.6523094004","36560.4056480642","37459.307649507","40300.3082316095","39324.3689530042","41965.3584189919","42826.789579996","45902.047948361","46880.2206571585","46276.1506853863","47305.8800224297","49628.8118138792","51663.3650948449","",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19442.312042665","20585.0193104127","21259.6367506188","21698.3076736738","22606.8296418745","23660.4086083689","24529.2078275032","25424.0699288625","26674.609548055","27606.4830303088","29380.0660424793","29715.2222181289","31178.6933297272","32108.632547686","33743.0447084692","35013.7140443423","37623.0757580996","39392.5405883999","41316.225176699","40926.5237645676","42006.0468807427","44452.7327457999","46457.3457770311","47922.0491207455","48799.7154676985","49879.2664728545","51809.5136270202","53937.0663797317","55454.689293289","",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5703.86998121468","5765.28772181743","4495.39785891958","3485.51159400081","2820.25116654212","2510.53853486761","2563.72099998245","2732.70028684201","3011.08771664522","3251.93493776655","3663.44525254314","4082.68232953037","4504.9764853301","5018.89005623622","5581.87125764378","7290.22995292263","9989.20647283044","12724.3483373841","14047.6601947982","15162.8877985698","15884.0447882908","15754.1523626148","16193.3956654","17216.1785348611","17808.9018991483","17973.0906671734","17417.0866945965","17525.2796310039","18044.1367837983","",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","666.703901184137","707.309262401939","715.229729626316","673.169227473686","649.899628822019","601.987470501246","557.169350341568","552.115043195189","578.852301826758","573.7140548575","571.326312284309","582.467816905575","601.529755781346","587.242509946611","612.474437828619","617.061944452052","648.748987058022","666.875594936883","689.748643283268","698.173553305929","718.714469126073","739.219254973908","762.42247952376","788.893782667002","812.030043569286","764.195763294656","743.903597582874","737.978582864667","744.182072008071","",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18659.1195580988","19570.8741873483","20240.9812448347","20441.2227080659","21485.1202684729","22411.7519537502","22715.6320301992","23729.7904789419","24368.5229971791","25440.8411888638","27788.4305195986","28800.1297092813","30282.2886450283","30898.6074431985","32033.8709623041","33177.8909458158","35222.6051497546","36755.6563289744","37883.3319417819","37757.2820887917","39836.8977087435","40942.372710454","42290.7620520019","43671.11959259","44929.685593416","46213.2665340101","47855.4902282394","50220.8666703868","51407.9983373414","",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","949.168690914722","988.77101457638","1005.61460513474","1052.03860879311","1059.29204604852","1109.72406044667","1142.40629405757","1192.09566510535","1216.72738664615","1262.40524394344","1326.08981385573","1384.89728189542","1428.01789684328","1459.58466158446","1518.93258990056","1546.70844059023","1609.10467378397","1701.97113642588","1769.25243460662","1773.7297707933","1781.56331733904","1820.8893040888","1891.53038798207","2006.32788136073","2114.48031526921","2122.23559175409","2169.7558068286","2276.59572977231","2424.75584480555","",
